timestamp_s,cycle,error_code,com_x,com_y,com_z,left_contact,right_contact,stability_status,left_force_n,right_force_n,stability_margin_m,compute_us,extra_0,extra_1,extra_2
0.01,1,0,0.55,0.183926,1.74653,1,1,3,0,0,0,716.23,0,0,0
0.02,2,0,0.55,0.183924,1.74065,1,1,3,0,0,0,870.617,0,0,0
0.03,3,0,0.55,0.183922,1.7338,1,1,3,0,0,0,489.846,0,0,0
0.04,4,0,0.55,0.183921,1.72597,1,1,3,0,0,0,446.206,0,0,0
0.05,5,0,0.55,0.183919,1.71716,1,1,3,0,0,0,788.952,0,0,0
0.06,6,0,0.55,0.183917,1.70738,1,1,3,0,0,0,541.877,0,0,0
0.07,7,0,0.55,0.183915,1.69662,1,1,3,0,0,0,769.208,0,0,0
0.08,8,0,0.55,0.183914,1.6849,1,1,3,0,0,0,607.809,0,0,0
0.09,9,0,0.55,0.183912,1.6722,1,1,3,0,0,0,598.691,0,0,0
0.1,10,0,0.55,0.18391,1.65853,1,1,3,0,0,0,749.925,0,0,0
0.11,11,0,0.55,0.183909,1.6439,1,1,3,0,0,0,863.272,0,0,0
0.12,12,0,0.55,0.183907,1.6283,1,1,3,0,0,0,864.033,0,0,0
0.13,13,0,0.55,0.183905,1.61173,1,1,3,0,0,0,1136.09,0,0,0
0.14,14,0,0.55,0.183903,1.5942,1,1,3,0,0,0,1623.03,0,0,0
0.15,15,0,0.55,0.183902,1.57571,1,1,3,0,0,0,596.53,0,0,0
0.16,16,0,0.55,0.1839,1.55626,1,1,3,0,0,0,449.497,0,0,0
0.17,17,0,0.55,0.183898,1.53585,1,1,3,0,0,0,950.957,0,0,0
0.18,18,0,0.55,0.183897,1.51448,1,1,3,0,0,0,829.916,0,0,0
0.19,19,0,0.55,0.183895,1.49216,1,1,3,0,0,0,569.663,0,0,0
0.2,20,0,0.55,0.183893,1.46889,1,1,3,0,0,0,816.874,0,0,0
0.21,21,0,0.55,0.183891,1.44466,1,1,3,0,0,0,934.679,0,0,0
0.22,22,0,0.55,0.18389,1.41949,1,1,3,0,0,0,1055.72,0,0,0
0.23,23,0,0.55,0.183888,1.39338,1,1,3,0,0,0,1090.53,0,0,0
0.24,24,0,0.55,0.183886,1.36632,1,1,3,0,0,0,634.772,0,0,0
0.25,25,0,0.55,0.183885,1.33832,1,1,3,0,0,0,1122.93,0,0,0
0.26,26,0,0.55,0.183883,1.30938,1,1,3,0,0,0,787.172,0,0,0
0.27,27,0,0.55,0.183881,1.27951,1,1,3,0,0,0,776.781,0,0,0
0.28,28,0,0.55,0.18388,1.2487,1,1,3,0,0,0,1295.34,0,0,0
0.29,29,0,0.55,0.183878,1.21696,1,1,3,0,0,0,477.632,0,0,0
0.3,30,0,0.55,0.183876,1.18429,1,1,3,0,0,0,898.303,0,0,0
0.31,31,0,0.55,0.183874,1.1507,1,1,3,0,0,0,843.86,0,0,0
0.32,32,0,0.55,0.183873,1.11619,1,1,3,0,0,0,545.62,0,0,0
0.33,33,0,0.55,0.183871,1.08076,1,1,3,0,0,0,595.624,0,0,0
0.34,34,0,0.55,0.183869,1.04441,1,1,3,0,0,0,1023.28,0,0,0
0.35,35,0,0.55,0.183868,1.00714,1,1,3,0,0,0,1140.99,0,0,0
0.36,36,0,0.55,0.183866,0.968967,2,1,3,0,0,0,882.331,0,0,0
0.37,37,0,0.55,0.183864,0.929886,2,2,3,0,0,0,795.752,0,0,0
0.38,38,0,0.55,0.183863,0.889899,2,2,3,0,0,0,772.013,0,0,0
0.39,39,0,0.55,0.183861,0.849012,2,2,3,0,0,0,796.596,0,0,0
0.4,40,0,0.54487,0.181744,0.848035,3,3,3,1432.05,1873.42,0,1092.05,0,0,0
0.41,41,0,0.540834,0.180063,0.851071,3,3,3,101.009,305.596,0,2238.29,0,0,0
0.42,42,0,0.537008,0.178482,0.853582,2,3,3,0,37.4475,0,682.985,0,0,0
0.43,43,0,0.533431,0.177062,0.85567,2,3,3,0,45.5376,0,801.183,0,0,0
0.44,44,0,0.53011,0.175821,0.857837,3,3,3,27.3054,58.4687,0,832.466,0,0,0
0.45,45,0,0.527029,0.174716,0.859868,3,3,3,15.8478,52.5639,0,1405.73,0,0,0
0.46,46,0,0.524172,0.173754,0.861724,3,3,3,15.1784,50.1208,0,1389.28,0,0,0
0.47,47,0,0.521545,0.172945,0.863417,3,3,3,15.3894,50.8938,0,609.972,0,0,0
