timestamp_s,cycle,error_code,com_x,com_y,com_z,left_contact,right_contact,stability_status,left_force_n,right_force_n,stability_margin_m,compute_us,extra_0,extra_1,extra_2
0.01,1,0,0.522837,0.174123,0.859821,3,4,3,32.0069,87.0173,0,741.481,0,0,0
0.02,2,0,0.519592,0.173299,0.860966,3,2,3,27.5565,0,0,1138.75,0,0,0
0.03,3,0,0.516674,0.172675,0.862403,4,3,3,21.3729,81.8101,0,902.121,0,0,0
0.04,4,0,0.513692,0.172082,0.863222,4,2,3,28.6669,0,0,1132.65,0,0,0
0.05,5,0,0.51104,0.171655,0.86459,4,3,3,30.3445,94.1818,0,589.122,0,0,0
0.06,6,0,0.50846,0.171342,0.865503,4,3,3,16.0323,26.7999,0,1087.2,0,0,0
0.07,7,0,0.506104,0.171262,0.866503,4,4,3,25.4522,61.0501,0,712.414,0,0,0
0.08,8,0,0.503956,0.171347,0.867488,4,4,3,23.6441,54.8529,-0.00429478,2295.93,0,0,0
0.09,9,0,0.501262,0.174887,0.869509,4,4,3,89.5081,49.353,0,811.305,0,0,0
0.1,10,0,0.497964,0.181688,0.872098,4,4,3,49.9677,42.8614,0,708.972,0,0,0
0.11,11,0,0.493919,0.191791,0.874811,4,4,3,20.7315,25.7847,0,1144.7,0,0,0
0.12,12,0,0.488864,0.205679,0.877417,2,4,3,0,18.8936,0,1152.96,0,0,0
0.13,13,0,0.482802,0.222697,0.880012,2,4,3,0,23.9904,0,688.906,0,0,0
0.14,14,0,0.47559,0.242718,0.882522,2,4,3,0,15.6511,0,937.94,0,0,0
0.15,15,0,0.46709,0.265525,0.884918,2,4,3,0,11.5148,0,853.062,0,0,0
0.16,16,0,0.457186,0.290835,0.887133,2,2,3,0,4.98373,0,1115.69,0,0,0
0.17,17,0,0.445765,0.318355,0.889118,2,2,3,0,0.963648,0,1008.65,0,0,0
0.18,18,0,0.433813,0.347907,0.89393,2,3,3,0,247.618,0,1039.63,0,0,0
0.19,19,0,0.420249,0.379358,0.899258,2,3,3,0,61.3558,0,1067.25,0,0,0
0.2,20,0,0.404935,0.4122,0.905085,2,4,3,0,56.8212,0,585.09,0,0,0
0.21,21,0,0.388255,0.445772,0.911396,2,4,3,0,53.6445,0,836.667,0,0,0
0.22,22,0,0.371393,0.479009,0.918044,2,4,3,0,48.122,0,1386.18,0,0,0
0.23,23,0,0.355404,0.511188,0.924906,1,4,3,0,36.6271,0,1487.76,0,0,0
0.24,24,0,0.340015,0.542593,0.931,1,2,3,0,0,0,1211.97,0,0,0
0.25,25,0,0.325171,0.573244,0.936812,1,2,3,0,0,0,1197.09,0,0,0
0.26,26,0,0.312018,0.602694,0.942554,1,2,3,0,0,0,740.531,0,0,0
0.27,27,0,0.299872,0.63121,0.948109,1,2,3,0,0,0,726.324,0,0,0
0.28,28,0,0.288516,0.65905,0.952683,1,2,3,0,0,0,1119.36,0,0,0
0.29,29,0,0.277575,0.686411,0.955982,1,1,3,0,0,0,1040.04,0,0,0
0.3,30,0,0.267003,0.713355,0.957908,1,1,3,0,0,0,761.689,0,0,0
0.31,31,0,0.256879,0.739902,0.958531,1,1,3,0,0,0,864.314,0,0,0
0.32,32,0,0.247251,0.76608,0.957901,1,1,3,0,0,0,968.544,0,0,0
0.33,33,0,0.238164,0.791925,0.956075,1,1,3,0,0,0,867.644,0,0,0
0.34,34,0,0.229653,0.817472,0.953113,1,1,3,0,0,0,1012.48,0,0,0
0.35,35,0,0.221743,0.842763,0.949076,1,1,3,0,0,0,975.131,0,0,0
0.36,36,0,0.214452,0.867842,0.944026,1,1,3,0,0,0,1442.2,0,0,0
0.37,37,0,0.20779,0.892754,0.938023,1,1,3,0,0,0,983.996,0,0,0
0.38,38,0,0.201755,0.917544,0.931126,1,1,3,0,0,0,882.396,0,0,0
0.39,39,0,0.19634,0.942261,0.923395,1,1,3,0,0,0,730.396,0,0,0
0.4,40,0,0.191527,0.96695,0.914884,1,1,3,0,0,0,888.842,0,0,0
0.41,41,0,0.18729,0.991657,0.905645,1,1,3,0,0,0,802.07,0,0,0
0.42,42,0,0.183599,1.01643,0.895727,1,1,3,0,0,0,1370.86,0,0,0
0.43,43,0,0.180414,1.0413,0.885171,1,1,3,0,0,0,844.528,0,0,0
0.44,44,0,0.17769,1.06632,0.874017,1,1,3,0,0,0,749.717,0,0,0
0.45,45,0,0.175243,1.09155,0.862555,1,1,3,0,0,0,604.686,0,0,0
0.46,46,0,0.17314,1.11701,0.850623,1,1,3,0,0,0,918.018,0,0,0
0.47,47,0,0.171108,1.14271,0.838486,1,1,3,0,0,0,971.141,0,0,0
0.48,48,0,0.169307,1.16873,0.825907,1,1,3,0,0,0,887.999,0,0,0
0.49,49,0,0.167375,1.19498,0.81316,1,1,3,0,0,0,996.847,0,0,0
0.5,50,0,0.165422,1.22158,0.80009,1,1,3,0,0,0,819.226,0,0,0
0.51,51,0,0.163289,1.2485,0.78675,1,1,3,0,0,0,694.765,0,0,0
0.52,52,0,0.160893,1.27573,0.773125,1,1,3,0,0,0,746.453,0,0,0
0.53,53,0,0.158132,1.30324,0.759207,1,1,3,0,0,0,723.753,0,0,0
0.54,54,0,0.15491,1.33098,0.744976,1,1,3,0,0,0,664.047,0,0,0
0.55,55,0,0.151138,1.35891,0.730405,1,1,3,0,0,0,959.881,0,0,0
0.56,56,0,0.146753,1.38698,0.71545,1,1,3,0,0,0,890.506,0,0,0
0.57,57,0,0.141702,1.41515,0.700063,1,1,3,0,0,0,980.349,0,0,0
0.58,58,0,0.135942,1.44336,0.68419,1,1,3,0,0,0,891.582,0,0,0
0.59,59,0,0.129439,1.47156,0.667777,1,1,3,0,0,0,1081.07,0,0,0
0.6,60,0,0.122172,1.49968,0.650768,1,1,3,0,0,0,1259.09,0,0,0
0.61,61,0,0.114129,1.52766,0.633106,1,1,3,0,0,0,685.294,0,0,0
0.62,62,0,0.105311,1.55544,0.614735,2,1,3,0,0,0,1168.85,0,0,0
0.63,63,0,0.0977938,1.5814,0.596974,3,1,3,326.706,0,0,1332.18,0,0,0
0.64,64,0,0.0905001,1.60707,0.579981,3,1,3,142.878,0,0,1378.35,0,0,0
0.65,65,0,0.083593,1.63237,0.56377,3,1,3,147.007,0,0,1089.39,0,0,0
0.66,66,0,0.0771271,1.65728,0.548347,3,1,3,146.155,0,0,1240.86,0,0,0
0.67,67,0,0.0711013,1.68174,0.533713,3,1,3,144.429,0,0,884.403,0,0,0
0.68,68,0,0.0635085,1.70378,0.526018,3,1,3,197.367,0,0,1055.5,0,0,0
0.69,69,0,0.0563354,1.72492,0.520428,3,1,3,184.773,0,0,1287.95,0,0,0
0.7,70,0,0.0490372,1.7422,0.515681,2,1,3,0,0,0,1701.85,0,0,0
0.71,71,0,0.0412004,1.7578,0.511436,3,1,3,30.0539,0,0,833.529,0,0,0
0.72,72,0,0.0338974,1.77294,0.508872,3,1,3,68.2848,0,0,834.667,0,0,0
0.73,73,0,0.0272431,1.78447,0.507212,3,1,3,56.0248,0,0,1817.82,0,0,0
